FRAME,DATE,TIME,BICYCLE,BUS,CAR,JEEPNEY,MOTORCYCLE,MULTICAB,TRICYCLE,TRUCK,VAN
10,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
11,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
12,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
13,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
14,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
15,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
16,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
17,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
18,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
19,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
20,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
57,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
58,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
59,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
60,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
61,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
62,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
63,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
64,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
65,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
66,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
67,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
68,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
68,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
69,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
70,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
71,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
72,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
73,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
74,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
75,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
76,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
77,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
78,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
79,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
80,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
81,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
82,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
83,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
84,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
85,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
86,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
87,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
88,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
89,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
90,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
117,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
118,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
119,2024511-17,10:41:29,0,"2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
","2024511-17 10:41:29
"
120,None,None,0,,,,,,,,
121,None,None,0,,,,,,,,
122,None,None,0,,,,,,,,
123,None,None,0,,,,,,,,
124,None,None,0,,,,,,,,
125,None,None,0,,,,,,,,
126,None,None,0,,,,,,,,
127,None,None,0,,,,,,,,
128,None,None,0,,,,,,,,
129,None,None,0,,,,,,,,
130,None,None,0,,,,,,,,
131,None,None,0,,,,,,,,
132,None,None,0,,,,,,,,
133,None,None,0,,,,,,,,
134,None,None,0,,,,,,,,
135,None,None,0,,,,,,,,
136,None,None,0,,,,,,,,
137,None,None,0,,,,,,,,
138,None,None,0,,,,,,,,
139,None,None,0,,,,,,,,
140,None,None,0,,,,,,,,
156,None,None,0,,,,,,,,
157,None,None,0,,,,,,,,
157,None,None,0,,,,,,,,
158,None,None,0,,,,,,,,
158,None,None,0,,,,,,,,
159,None,None,0,,,,,,,,
159,None,None,0,,,,,,,,
160,None,None,0,,,,,,,,
160,None,None,0,,,,,,,,
161,None,None,0,,,,,,,,
161,None,None,0,,,,,,,,
162,None,None,0,,,,,,,,
163,None,None,0,,,,,,,,
164,None,None,0,,,,,,,,
165,None,None,0,,,,,,,,
166,None,None,0,,,,,,,,
167,None,None,0,,,,,,,,
168,None,None,0,,,,,,,,
169,None,None,0,,,,,,,,
170,None,None,0,,,,,,,,
171,None,None,0,,,,,,,,
171,None,None,0,,,,,,,,
172,None,None,0,,,,,,,,
172,None,None,0,,,,,,,,
173,None,None,0,,,,,,,,
173,None,None,0,,,,,,,,
174,None,None,0,,,,,,,,
175,None,None,0,,,,,,,,
176,None,None,0,,,,,,,,
177,None,None,0,,,,,,,,
178,None,None,0,,,,,,,,
179,None,None,0,,,,,,,,
180,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
181,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
182,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
183,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
184,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
185,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
185,None,None,0,"741
","741
","741
","741
","741
","741
","741
","741
"
186,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
186,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
187,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
188,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
189,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
190,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
191,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
192,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
193,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
194,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
195,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
196,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
197,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
198,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
199,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
200,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
201,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
202,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
204,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
205,None,None,1,"741
","741
","741
","741
","741
","741
","741
","741
"
266,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
267,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
268,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
269,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
270,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
271,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
272,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
273,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
274,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
275,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
276,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
277,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
278,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
279,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
280,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
281,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
282,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
283,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
285,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
287,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
288,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
289,None,None,1,"32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
","32024511-17 的

747
"
